品項ID,單價,生效日,結束日,備註
V01-001,588,2026/1/1,,
V01-002,1029,2026/1/1,,
V01-003,579.6,2026/1/1,,
V01-004,5436,2026/1/1,,
V01-005,15,2026/1/1,,
V01-006,0,2026/1/1,,
V01-007,0,2026/1/1,,
V01-008,830,2026/1/1,,
V01-009,760,2026/1/1,,
V01-010,115,2026/1/1,,
V02-001,0,2026/1/1,,
V02-002,0,2026/1/1,,
V02-003,0,2026/1/1,,
V02-004,0,2026/1/1,,
V03-001,55,2026/1/1,,
V03-002,52,2026/1/1,,
V03-003,140,2026/1/1,,
V03-004,180,2026/1/1,,
V03-005,210,2026/1/1,,
V03-006,180,2026/1/1,,
V03-007,55,2026/1/1,,
V03-008,310,2026/1/1,,
V03-009,350,2026/1/1,,
V03-010,120,2026/1/1,,
V03-011,110,2026/1/1,,
V03-012,150,2026/1/1,,
V03-013,330,2026/1/1,,
V03-014,1000,2026/1/1,,
V04-001,1305,2026/1/1,,
V04-002,165,2026/1/1,,
V04-002-1,1320,2026/1/1,,
V04-003,190,2026/1/1,,
V04-003-1,3800,2026/1/1,,
V04-004,462,2026/1/1,,
V05-001,65,2026/1/1,,
V05-002,200,2026/1/1,,
V05-002-1,1200,2026/1/1,,
V05-003,180,2026/1/1,,
V05-003-1,2160,2026/1/1,,
V05-004,162.75,2026/1/1,,
V05-004-1,2441,2026/1/1,,
V05-005,659.9,2026/1/1,,
V05-005-1,2640,2026/1/1,,
V05-006,260,2026/1/1,,
V05-007,102,2026/1/1,,
V05-008,137.5,2026/1/1,,
V05-009,143.81,2026/1/1,,
V05-009-1,2876,2026/1/1,,
V06-001,367,2026/1/1,,
V06-001-1,1838,2026/1/1,,
V07-001,100,2026/1/1,,
V08-001,2215,2026/1/1,,
V08-002,582,2026/1/1,,
V08-003,1107.75,2026/1/1,,
V08-004,1115,2026/1/1,,
V08-005,225,2026/1/1,,
V08-006,336,2026/1/1,,
V08-007,336,2026/1/1,,
V08-008,336,2026/1/1,,
V09-001,220.5,2026/1/1,,
V09-002,228.9,2026/1/1,,
V09-003,399,2026/1/1,,
V09-004,288.75,2026/1/1,,
V09-005,435,2026/1/1,,
V09-006,126,2026/1/1,,
V09-007,456.75,2026/1/1,,
V09-008,257.25,2026/1/1,,
V09-009,173.2,2026/1/1,,
V09-010,570,2026/1/1,,
V09-011,152,2026/1/1,,
V09-012,218,2026/1/1,,
V09-013,63,2026/1/1,,
V09-014,17.85,2026/1/1,,
V09-015,193,2026/1/1,,
V09-016,152,2026/1/1,,
V09-017,380,2026/1/1,,
V09-018,173.25,2026/1/1,,
V09-019,15.75,2026/1/1,,
V09-020,210,2026/1/1,,
V09-021,456,2026/1/1,,
V09-022,1260,2026/1/1,,
V09-023,168,2026/1/1,,
V09-024,131.25,2026/1/1,,
V09-025,131.25,2026/1/1,,
V09-026,131.25,2026/1/1,,
V09-027,225.75,2026/1/1,,
V09-028,126,2026/1/1,,
V09-028-1,1512,2026/1/1,,
V09-029,117,2026/1/1,,
V09-030,125,2026/1/1,,
V09-031,36.75,2026/1/1,,
V09-032,275,2026/1/1,,
V10-001,720,2026/1/1,,
V10-002,480,2026/1/1,,
V11-001,480,2026/1/1,,
V11-002,80,2026/1/1,,
V11-003,250,2026/1/1,,
V11-004,50,2026/1/1,,
V11-005,70,2026/1/1,,
V11-006,100,2026/1/1,,
V11-007,90,2026/1/1,,
V11-008,540,2026/1/1,,
V12-001,241.5,2026/1/1,,
V12-002,2350,2026/1/1,,
V12-003,204.5,2026/1/1,,
V13-001,50.4,2026/1/1,,
V13-002,45.15,2026/1/1,,
V13-003,80,2026/1/1,,
V13-004,84,2026/1/1,,
V13-005,63,2026/1/1,,
V13-006,97.3,2026/1/1,,
V13-007,47.25,2026/1/1,,
V13-008,284,2026/1/1,,
V13-009,47.25,2026/1/1,,
V13-010,26.25,2026/1/1,,
V13-011,73.5,2026/1/1,,
V13-012,105,2026/1/1,,
V13-012-1,1260,2026/1/1,,
V13-013,70,2026/1/1,,
V13-013-1,840,2026/1/1,,
V13-014,39.9,2026/1/1,,
V13-015,21,2026/1/1,,
V13-016,37.8,2026/1/1,,
V13-017,31.5,2026/1/1,,
V13-018,179.97,2026/1/1,,
V13-019,430.5,2026/1/1,,
V13-020,52.5,2026/1/1,,
V13-021,10.5,2026/1/1,,
V13-022,189,2026/1/1,,
V13-023,160,2026/1/1,,
V13-024,179,2026/1/1,,
V13-025,94.5,2026/1/1,,
V13-026,160,2026/1/1,,
V13-027,47,2026/1/1,,
V13-028,157.5,2026/1/1,,
V13-029,315,2026/1/1,,
V13-030,68.25,2026/1/1,,
V13-031,78.75,2026/1/1,,
V13-032,36.75,2026/1/1,,
V13-033,99.75,2026/1/1,,
V13-034,472.5,2026/1/1,,
V13-035,25.2,2026/1/1,,
V13-036,47.25,2026/1/1,,
V13-037,1953,2026/1/1,,
V13-038,150,2026/1/1,,
V13-039,65,2026/1/1,,
V13-040,3,2026/1/1,,
V13-041,80.85,2026/1/1,,
V13-042,70.88,2026/1/1,,
V13-043,194.25,2026/1/1,,
V13-044,131.25,2026/1/1,,
V13-045,58,2026/1/1,,
V13-046,32,2026/1/1,,
V13-047,74,2026/1/1,,
